TIF,WARD,AREA
78,10,10021293.54
79,3,891683.1376
79,11,3963978.316
81,38,2462749.749
81,36,257118.6266
81,37,857659.5487
81,30,2669371.379
81,31,2028449.038
82,30,1532668.002
82,31,2014442.315
82,45,110534.3493
82,38,664578.6378
83,38,5886033.132
83,45,215374.3267
84,40,947296.4389
84,46,2004.476576
84,47,8968148.31
85,47,11266898.69
85,33,34.5464463
85,32,250592.3731
85,1,80638.75819
86,27,5059378.332
86,25,5278.641401
86,2,18402091.62
87,31,1209812.712
87,30,684465.9382
87,26,1094402.164
87,1,2400171.869
87,35,5695035.306
88,40,3336055.629
88,39,6550850.624
88,33,7950776.795
89,14,3017312.525
89,13,9895.235066
89,23,13673071.49
90,45,13337.7752
90,39,194603.4811
91,39,6068694.033
92,18,2182228.106
92,13,27956698.72
93,7,3402297.857
93,10,12712321.57
94,42,1359044.738
94,27,831616.5731
95,27,33391.19602
95,12,2599129.804
95,28,28902862.55
95,2,13144196.2
95,24,40169834.88
96,23,4033797.39
97,13,120805.6237
97,23,1483987.142
97,16,30843.30425
97,14,10099949.97
98,13,6137487.362
98,14,35696.30977
98,23,3065169.293
99,13,3410987.42
99,23,4599410.742
100,42,158963.861
101,2,6650887.67
102,36,494450.6951
103,8,5434488.302
103,9,24368161.69
103,10,283672587.6
103,7,4097461.882
104,2,1637.075204
104,27,3128811.817
104,42,2217049.596
105,5,182562.3373
105,4,3480893.539
106,6,3324677.592
106,3,43462.31647
106,20,16028182.44
106,16,19391785.15
106,17,5460793.661
107,1,0.019875785
107,26,14083791.39
107,27,1686244.742
107,35,7.394444486
108,26,3408819.372
108,1,2546163.232
108,32,11744.97239
108,35,164956.8768
109,46,1418340.606
109,48,1725201.489
110,46,6052043.712
110,48,42646.58803
111,34,34397.94737
111,21,2185957.02
111,19,82043.24083
112,18,13296136.11
112,19,116.2963201
112,21,116.2240385
113,9,8208954.262
113,34,349174.6195
114,9,48642.73994
114,34,8172435.817
115,28,4347231.623
115,27,24345967.41
115,37,909173.9321
116,39,4315289.368
116,45,250776.0828
117,3,3541148.172
117,20,2406175.958
117,11,2290502.129
117,12,3122941.729
117,16,3033933.888
118,4,122696.5244
118,3,24983482.45
119,4,1234864.485
120,12,1197074.229
121,16,459865.1951
121,20,3521933.668
121,3,31319593.96
121,11,5766114.089
122,4,600718.7635
123,8,1544797.835
123,7,3050307.813
124,13,936429.2732
125,34,12637625.62
125,19,993406.3686
126,4,4058093.998
127,8,3999579.901
127,9,699311.1002
127,6,5213206.533
127,5,299001.7685
128,8,268347.7895
128,7,6937168.232
128,10,10127047.93
129,36,3380679
129,29,2902785.161
130,40,374517.5174
131,3,3161780.524
131,11,769441.6892
132,3,806553.3685
133,21,4479539.387
134,40,1275017.015
134,48,19228.83
134,49,1705939.532
135,49,295824.2181
135,50,1613811.046
136,4,80584.68882
136,20,112303.4276
136,3,14137011.25
137,46,166942.5254
138,17,793260.1693
139,47,3345135.148
140,13,892107.836
141,4,23660.18958
141,2,1294895.153
142,19,25968773.62
142,34,43510.72963
143,15,16143837.5
143,17,1062151.95
143,16,2904028.815
144,28,110620.6318
144,29,16411761.7
144,24,43379.53284
145,5,5756238.648
146,49,124081.2064
146,50,10844227.09
147,42,3699298.525
147,2,2359526.315
148,23,6559217.886
149,23,79371.98226
149,16,12844.36781
149,12,13986974.19
149,22,1292469.688
149,14,56110777.05
150,47,435636.9341
150,32,9679.160615
150,1,6717602.351
151,30,1170100.385
151,31,163153.6592
152,22,28554306.59
152,12,22838.60301
153,45,5591542.4
154,4,34568.27136
154,3,1089863.173
155,6,314943.8329
155,21,455746.6318
155,17,11460915.43
156,29,4133738.358
156,36,0.000129873
156,28,492388.5995
156,37,6500215.871
157,46,283236.2036
157,49,41458.55407
157,48,4632266.935
158,32,5524.139461
158,43,110787.2754
159,10,7761564.666
160,33,745655.6736
160,35,5887843.499
161,24,30001467.69
161,22,8225930.048
162,22,2258021.713
163,12,6251553.705
163,11,11827707.85
164,22,14264.47819
164,12,7166462.495
164,24,1094.123484
165,39,2527052.311
165,35,7316.385501
165,38,529.5653231
165,30,3784.791886
165,33,504103.4346
166,8,3232053.545
166,9,17497456.86
166,10,3316044.696
167,31,100246.523
167,30,2056310.803
168,10,23260959.77
168,9,26774.80783
169,10,22199202
170,7,2986744.165
171,6,136313.5981
171,5,85391.79827
171,20,15469781.14
172,42,379957.2448
173,46,1348334.403
174,17,3652350.823
174,20,1310080.003
174,5,105060.3367
174,6,36333646.47
